line	Current_mac	New_mac
24	571	0
924	964	0
2020	916	0
3106	576	0
4797	636	0
6615	671	0
7364	583	0
7563	642	0
11004	979	0
12232	621	0
13468	800	0
14347	808	0
14967	709	0
15661	856	0
18744	802	0
5	22	0
7	75	0
9	69	0
18	71	0
22	21	0
30	115	0
39	30	0
40	28	0
75	30	0
89	96	0
116	36	0
118	234	0
119	93	0
159	21	0
179	53	0
183	144	0
189	50	0
220	296	0
233	70	0
237	285	0
238	73	0
241	30	0
250	119	0
276	137	0
278	155	0
283	60	0
287	30	0
292	60	0
299	60	0
308	99	0
320	77	0
335	54	0
336	73	0
348	185	0
351	243	0
354	236	0
373	47	0
375	271	0
376	22	0
379	31	0
384	28	0
422	51	0
433	135	0
437	23	0
452	71	0
501	347	0
509	321	0
522	22	0
527	37	0
550	318	0
554	109	0
559	273	0
561	23	0
621	68	0
625	131	0
629	45	0
633	32	0
657	93	0
665	269	0
673	73	0
675	195	0
681	54	0
683	55	0
698	42	0
700	59	0
724	24	0
726	34	0
727	41	0
748	24	0
751	247	0
766	54	0
769	73	0
803	64	0
805	64	0
811	124	0
828	68	0
829	502	0
832	32	0
849	105	0
888	24	0
895	41	0
927	27	0
940	47	0
943	29	0
944	24	0
950	57	0
961	67	0
990	21	0
1006	28	0
1014	31	0
1017	30	0
1029	73	0
1061	87	0
1062	168	0
1066	301	0
1099	96	0
1110	32	0
1121	21	0
1125	39	0
1151	24	0
1172	24	0
1181	29	0
1232	21	0
1233	60	0
1245	28	0
1258	101	0
1260	31	0
1284	85	0
1287	33	0
1295	34	0
1317	56	0
1323	263	0
1339	539	0
1348	25	0
1367	88	0
1385	66	0
1388	25	0
1397	43	0
1461	37	0
1466	45	0
1472	21	0
1478	290	0
1480	42	0
1502	198	0
1510	97	0
1514	171	0
1520	42	0
1523	131	0
1527	42	0
1528	134	0
1539	140	0
1576	57	0
1581	30	0
1584	198	0
1598	253	0
1610	52	0
1612	27	0
1619	162	0
1638	23	0
1647	60	0
1659	86	0
1678	78	0
1683	562	0
1691	24	0
1702	23	0
1714	46	0
1755	67	0
1765	31	0
1817	164	0
1826	128	0
1829	22	0
1836	68	0
1841	56	0
1842	27	0
1843	65	0
1846	428	0
1854	25	0
1874	181	0
1886	22	0
1890	45	0
1909	121	0
1912	29	0
1933	27	0
1945	307	0
1949	57	0
1960	21	0
1974	294	0
2008	113	0
2015	147	0
2019	56	0
2029	104	0
2036	34	0
2063	130	0
2065	82	0
2075	114	0
2096	235	0
2131	284	0
2138	31	0
2152	153	0
2163	512	0
2170	93	0
2179	65	0
2201	38	0
2208	26	0
2209	194	0
2213	424	0
2225	51	0
2252	68	0
2311	193	0
2315	38	0
2325	24	0
2341	24	0
2380	62	0
2384	68	0
2397	21	0
2403	44	0
2412	84	0
2433	22	0
2435	92	0
2445	117	0
2466	43	0
2473	175	0
2475	46	0
2477	47	0
2494	237	0
2498	30	0
2503	28	0
2509	42	0
2530	290	0
2533	40	0
2542	80	0
2571	120	0
2573	47	0
2581	155	0
2606	37	0
2617	76	0
2628	49	0
2631	25	0
2655	60	0
2658	164	0
2668	25	0
2678	153	0
2679	21	0
2682	67	0
2684	39	0
2690	31	0
2693	60	0
2704	162	0
2712	38	0
2716	74	0
2717	49	0
2749	57	0
2761	21	0
2767	65	0
2778	71	0
2787	115	0
2791	32	0
2798	47	0
2803	187	0
2821	54	0
2833	22	0
2834	65	0
2842	49	0
2851	55	0
2861	26	0
2863	28	0
2889	30	0
2894	32	0
2912	48	0
2926	91	0
2937	29	0
2938	30	0
2940	27	0
2954	98	0
2959	21	0
2971	21	0
2976	41	0
2988	107	0
3005	74	0
3008	249	0
3010	94	0
3021	26	0
3024	32	0
3033	40	0
3036	146	0
3047	73	0
3049	56	0
3056	52	0
3076	23	0
3088	34	0
3116	35	0
3121	92	0
3136	25	0
3142	26	0
3167	31	0
3173	31	0
3177	40	0
3184	39	0
3186	31	0
3247	79	0
3248	44	0
3282	55	0
3285	22	0
3301	227	0
3304	73	0
3316	34	0
3319	22	0
3322	132	0
3326	21	0
3331	532	0
3333	344	0
3339	124	0
3348	25	0
3374	58	0
3375	75	0
3377	105	0
3409	36	0
3414	123	0
3418	23	0
3422	316	0
3427	156	0
3430	35	0
3465	67	0
3470	91	0
3487	24	0
3498	22	0
3519	49	0
3526	38	0
3530	98	0
3532	37	0
3555	32	0
3565	32	0
3603	336	0
3620	155	0
3645	130	0
3650	218	0
3657	86	0
3673	23	0
3692	113	0
3698	43	0
3712	27	0
3719	42	0
3747	47	0
3754	22	0
3756	32	0
3768	202	0
3779	99	0
3785	23	0
3800	61	0
3806	54	0
3809	46	0
3813	48	0
3814	116	0
3816	55	0
3820	30	0
3833	61	0
3847	35	0
3859	23	0
3860	23	0
3878	40	0
3882	115	0
3923	313	0
3924	21	0
3932	173	0
3935	88	0
3953	21	0
3960	44	0
3967	24	0
3968	51	0
3977	25	0
3998	52	0
4008	87	0
4026	44	0
4035	59	0
4036	33	0
4049	23	0
4053	77	0
4089	309	0
4102	92	0
4117	221	0
4118	32	0
4121	93	0
4124	24	0
4128	87	0
4145	35	0
4163	30	0
4186	205	0
4191	552	0
4225	23	0
4230	24	0
4245	31	0
4257	65	0
4265	71	0
4280	60	0
4299	22	0
4300	159	0
4317	47	0
4327	60	0
4330	66	0
4341	117	0
4347	48	0
4364	30	0
4391	68	0
4420	23	0
4456	71	0
4468	34	0
4471	110	0
4491	156	0
4526	51	0
4527	48	0
4560	90	0
4571	134	0
4574	27	0
4580	73	0
4607	39	0
4617	45	0
4621	136	0
4658	131	0
4659	51	0
4678	23	0
4685	299	0
4711	29	0
4716	275	0
4720	35	0
4723	68	0
4737	96	0
4744	43	0
4748	23	0
4769	62	0
4783	76	0
4787	178	0
4804	28	0
4813	208	0
4814	44	0
4817	113	0
4840	37	0
4846	187	0
4859	227	0
4880	447	0
4931	40	0
4932	36	0
4934	113	0
4938	23	0
4939	38	0
4942	70	0
4962	57	0
4964	30	0
4971	36	0
4973	25	0
4990	58	0
4992	42	0
4993	127	0
4996	77	0
5004	86	0
5007	26	0
5018	48	0
5026	22	0
5039	97	0
5048	103	0
5052	40	0
5059	59	0
5067	239	0
5083	95	0
5103	166	0
5107	78	0
5118	25	0
5153	25	0
5179	34	0
5183	211	0
5191	132	0
5203	70	0
5210	160	0
5226	46	0
5227	27	0
5241	58	0
5246	44	0
5263	68	0
5273	40	0
5306	31	0
5333	439	0
5338	213	0
5342	236	0
5355	134	0
5360	155	0
5375	37	0
5380	33	0
5392	79	0
5393	169	0
5401	31	0
5404	28	0
5407	30	0
5419	34	0
5432	122	0
5435	25	0
5448	25	0
5452	99	0
5467	170	0
5497	185	0
5500	54	0
5526	21	0
5529	259	0
5538	56	0
5625	171	0
5636	28	0
5655	55	0
5656	53	0
5664	54	0
5677	36	0
5684	120	0
5685	26	0
5688	33	0
5692	33	0
5708	42	0
5718	131	0
5723	23	0
5732	30	0
5740	27	0
5765	191	0
5766	80	0
5776	29	0
5782	102	0
5794	59	0
5810	149	0
5820	273	0
5843	35	0
5865	155	0
5867	273	0
5899	146	0
5911	75	0
5913	53	0
5916	41	0
5923	36	0
5933	131	0
5949	42	0
5983	59	0
6026	23	0
6039	39	0
6043	24	0
6050	24	0
6084	24	0
6088	21	0
6095	50	0
6107	37	0
6119	30	0
6171	77	0
6191	32	0
6197	122	0
6201	54	0
6205	274	0
6245	41	0
6272	35	0
6275	31	0
6281	24	0
6294	24	0
6313	151	0
6367	177	0
6413	29	0
6419	35	0
6422	71	0
6451	33	0
6461	54	0
6462	295	0
6468	80	0
6470	24	0
6478	26	0
6499	26	0
6504	83	0
6518	30	0
6527	36	0
6539	76	0
6560	22	0
6561	168	0
6568	59	0
6586	24	0
6617	21	0
6682	24	0
6686	209	0
